Isci_ID,Isci_Yas,Isci_Egitim,Isci_Tecrube,Isci_Tercih_Alanlari,Isci_Sehir,Isci_Ilce,Isci_Beklenen_Ucret,Ilan_ID,Firma_Adi,Ilan_Is_Alani,Ilan_Sehir,Ilan_Ilce,Ilan_Egitim_Gereksinimi,Ilan_Tecrube_Sarti,Ilan_Yas_Siniri,Ilan_Cinsiyet,Ilan_Konaklama,Ilan_Sigorta,Ilan_Ucret,Uygunluk
isci_0091,38,Ortaokul,18,Limon Hasadı,Ankara,Yenimahalle,29299,ilan_0091,Firma_79,Pamuk Toplama,Tokat,Merkez,İlkokul,1,19-60,Bayan,Yok,Var,51723,0.8
isci_0092,45,Lise,0,"Çay Hasadı, Kayısı Hasadı",Uşak,Merkez,24130,ilan_0092,Firma_25,Ürün Hasadı,Giresun,Merkez,İlkokul,8,19-49,Farketmez,Yok,Yok,48642,0.6
isci_0093,46,Üniversite,2,Çapa,Tunceli,Merkez,17888,ilan_0093,Firma_99,Kiraz Hasadı,Muğla,Menteşe,Üniversite,10,23-41,Farketmez,Var,Yok,24539,0.5
isci_0094,19,Üniversite,11,"Çapa, Çay Hasadı",Karaman,Merkez,44071,ilan_0094,Firma_73,Fidan Dikimi,Erzincan,Merkez,Ortaokul,6,25-58,Farketmez,Var,Var,27028,0.2
isci_0095,22,Lise,18,"Elma Toplama, Sera Bakımı, Çay Hasadı",Sinop,Ayancık,45492,ilan_0095,Firma_39,Elma Toplama,Adıyaman,Merkez,Üniversite,5,19-50,Bayan,Var,Var,57037,0.8
isci_0096,43,Ortaokul,2,Toprak İşleme,Adıyaman,Merkez,36682,ilan_0096,Firma_89,Toprak İşleme,Trabzon,Ortahisar,Üniversite,6,30-44,Farketmez,Yok,Yok,54786,0.6
isci_0097,19,Lise,0,"Kayısı Hasadı, Sera Bakımı",Eskişehir,Tepebaşı,42609,ilan_0097,Firma_41,Pamuk Toplama,Van,Erciş,Üniversite,5,24-44,Erkek,Yok,Var,20355,0.0
isci_0098,27,Lise,11,Sera Bakımı,Tekirdağ,Kapaklı,35992,ilan_0098,Firma_60,Fidan Dikimi,İstanbul,Üsküdar,Üniversite,4,26-55,Bayan,Var,Var,41452,0.8
isci_0099,56,Üniversite,19,Sera Bakımı,Yalova,Altınova,19166,ilan_0099,Firma_5,Kayısı Hasadı,Yalova,Çınarcık,Üniversite,8,21-52,Bayan,Yok,Var,41230,0.7
isci_0100,25,Üniversite,0,"Limon Hasadı, Fidan Dikimi",Edirne,Merkez,49533,ilan_0100,Firma_89,Pamuk Toplama,Samsun,Bafra,Üniversite,0,29-48,Farketmez,Var,Var,38415,0.4
isci_0101,35,Lise,8,"Sera Bakımı, Toprak İşleme",Van,İpekyolu,23230,ilan_0101,Firma_57,Çay Hasadı,Hakkari,Yüksekova,İlkokul,10,23-55,Erkek,Yok,Var,54945,0.6
isci_0102,29,İlkokul,9,"Çapa, Ürün Hasadı, Çay Hasadı",Afyonkarahisar,Bolvadin,51787,ilan_0102,Firma_40,Sera Bakımı,Yalova,Merkez,Üniversite,2,24-43,Bayan,Yok,Var,50577,0.5
isci_0103,49,İlkokul,14,"Çay Hasadı, Fidan Dikimi, Toprak İşleme",Çankırı,Çerkeş,50572,ilan_0103,Firma_47,Limon Hasadı,Tokat,Erbaa,Ortaokul,4,29-49,Farketmez,Yok,Yok,36662,0.5
isci_0104,22,Ortaokul,19,Çapa,Kırşehir,Çiçekdağı,55461,ilan_0104,Firma_12,Limon Hasadı,Aksaray,Merkez,İlkokul,10,28-48,Erkek,Yok,Var,28298,0.2
isci_0105,56,Üniversite,14,"Pamuk Toplama, Fidan Dikimi",Edirne,Keşan,34271,ilan_0105,Firma_28,Limon Hasadı,Nevşehir,Merkez,İlkokul,0,18-46,Erkek,Yok,Yok,36447,0.5
isci_0106,22,Ortaokul,7,"Ürün Hasadı, Ceviz Hasadı",Kahramanmaraş,Onikişubat,17961,ilan_0106,Firma_86,Kayısı Hasadı,Düzce,Merkez,Lise,2,20-47,Farketmez,Yok,Yok,59331,0.8
isci_0107,48,İlkokul,0,Ceviz Hasadı,Kars,Kağızman,51117,ilan_0107,Firma_33,Ceviz Hasadı,Ardahan,Çıldır,İlkokul,7,24-54,Erkek,Var,Var,19688,0.5
isci_0108,47,Üniversite,1,Kayısı Hasadı,Sinop,Boyabat,24795,ilan_0108,Firma_29,Limon Hasadı,Ardahan,Merkez,Ortaokul,5,26-42,Erkek,Yok,Yok,34268,0.3
isci_0109,28,İlkokul,5,"Fidan Dikimi, Sera Bakımı, Ceviz Hasadı",Giresun,Espiye,56316,ilan_0109,Firma_23,Kiraz Hasadı,Denizli,Pamukkale,Üniversite,9,19-43,Bayan,Var,Yok,31648,0.3
isci_0110,47,Lise,2,Pamuk Toplama,Van,Edremit,36108,ilan_0110,Firma_30,Fidan Dikimi,Gaziantep,Şehitkamil,İlkokul,7,27-46,Farketmez,Var,Var,18946,0.0
isci_0111,35,İlkokul,17,Sera Bakımı,Adıyaman,Merkez,47275,ilan_0111,Firma_18,Çapa,Kırklareli,Babaeski,Üniversite,8,21-54,Farketmez,Var,Yok,32760,0.5
isci_0112,53,Lise,10,"Pamuk Toplama, Toprak İşleme",Gaziantep,Şehitkamil,58790,ilan_0112,Firma_64,Sera Bakımı,Van,Erciş,Üniversite,6,18-51,Bayan,Var,Var,42736,0.2
isci_0113,43,İlkokul,5,"Pamuk Toplama, Çapa, Fidan Dikimi",Denizli,Pamukkale,32262,ilan_0113,Firma_8,Çay Hasadı,Tekirdağ,Çorlu,İlkokul,2,29-43,Farketmez,Yok,Yok,59886,1.0
isci_0114,27,Lise,9,Ürün Hasadı,Bingöl,Karlıova,56254,ilan_0114,Firma_58,Limon Hasadı,Gaziantep,Nizip,İlkokul,8,26-40,Erkek,Var,Var,35512,0.5
isci_0115,55,Ortaokul,17,Toprak İşleme,Yalova,Çınarcık,22638,ilan_0115,Firma_14,Pamuk Toplama,Uşak,Banaz,Ortaokul,1,21-55,Erkek,Var,Var,32603,1.0
isci_0116,46,Üniversite,11,"Fidan Dikimi, Sera Bakımı",Gümüşhane,Kelkit,49937,ilan_0116,Firma_26,Kiraz Hasadı,Bartın,Merkez,İlkokul,10,21-46,Erkek,Yok,Var,27784,0.5
isci_0117,48,İlkokul,7,"Pamuk Toplama, Kayısı Hasadı, Çay Hasadı",Karabük,Merkez,57934,ilan_0117,Firma_61,Çay Hasadı,Mersin,Toroslar,Ortaokul,6,26-44,Bayan,Var,Yok,57106,0.2
